scientificName,Extinction.extirpation,Extirpation_State,Least_Concern_local_extirpation,yearLastSeen_Notes,Comment,Body_mass,Within_fox_prey_mass_95.7.15130g,Within_cat_prey_mass__16.3.1946g,Blamed_on_foxes,Blamed_on_cats,Record_certainty,Reference,Year_last_record,Place_last_record,Coordinates_used_for_centre_point,Coordinates_accuracy,Foxes_havent_arrived_yet,Cats_havent_arrived_yet,First_fox_record,Last_record_AFTER_fox_first_record,Last_record_MINUS_fox_first_record,First_cat_record,Last_record_AFTER_cat_first_record,Last_record_MINUS_cat_first_record,rationale,threats,population,range,Species_Status,record_id,Year_last_record_error,buffer_distance,fox_min,fox_max,fox_mean,fox_sd,cat_min,cat_max,cat_mean,cat_sd
Bettongia penicillata,Region,Nullarbor,,,,1300,1,1,1,1,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.",1938,Nullarbor,Nullarbor,Region,NA,NA,,,,,,,,,,,Extant,pop_15,,1e+05,1907.5,1912.5,1911.76900584795,1.76825147180594,1885,1885,1885,0
Bettongia pusilla,Global,,,There is no record of it ever having been seen.,,1588.9,1,1,0,0,Confirmed,IUCN 2023,1787,Nullarbor and adjacent Hampton and Mallee bioregions,Nullarbor,Region,NA,NA,,,,,,,"The Nullarbor Dwarf Bettong was described very recently (McNamara 1997). It is known only from subfossil material, but is considered to have been extant at European settlement, e.g. Baynes (1987 as ‘unnamed potoroid’) placed it in the modern mammal fauna of the Nullarbor Plain. It has never been reported alive (Boscacci <em>et al</em>. 1987).",The species is extinct.,Only known from recent subfossils (McNamara 1997). The species is thought to have persisted after European settlement.,The Nullarbor Dwarf Bettong is known only from the Nullarbor and adjacent Hampton and Mallee bioregions (Burbidge <em>et al</em>. 2009),Globally extinct,pop_16,less than,1e+05,1907.5,1912.5,1911.76900584795,1.76825147180594,1885,1885,1885,0
Caloprymnus campestris,Global,,,1935 (confirmed); 1975 (unconfirmed),,900,1,1,1,1,Confirmed,IUCN 2023,1935,"Ooroowilanie, east of Lake Eyre",Ooroowilanie Reservoir,Place,NA,NA,,,,,,,"The last confirmed record of the species came in 1935 from near Ooroowilanie, east of Lake Eyre. There have been unconfirmed sightings in South Australia and Queensland between 1957 and 2011 (Carr and Robinson 1997; Robinson and Forrest 2013).",Extinction is considered to have been due to predation by red foxes and feral cats. Habitat degradation by introduced herbivores may have contributed to the extinction.,"It is presumed to be extinct. It was locally common near Cooncherie in December 1931 (Finlayson 1932a, b, 1935); no other information is available.","<p>Originally recorded from a small region in the Channel Country of north-eastern South Australia; the Desert Rat-kangaroo probably occurred also in adjacent south-eastern Queensland (Finlayson 1932, 1935; Flannery 1990; Carr and Robinson 1997; Flannery and Schouten 2001; Smith and Johnson 2008). The Desert Rat-kangaroo was discovered in the early 1840s and described by John Gould in 1843, on the basis of three specimens sent to him by George Grey, the governor of South Australia at the time, from an unknown locality in that State. After a long period (almost 90 years) with no records, the animal was rediscovered by pastoralist Mr L. Reese of Appamunna Station in 1931. Mammalogist Hedley Finlayson visited the site of Reese’s rediscovery in December 1931 and spent a week with six horsemen riding over an area of ‘about 20 square miles’ seeing 17 Desert Rat-kangaroos and catching 12 specimens (Finlayson 1932a, b, 1935; Robinson and Forest 2013).</p>    <p>More recent information suggests it occurred as far east as Galway Downs, north to Windorah, and west to the northern extremity of Lake Eyre. Carr and Robinson (1997) documented 13 unconfirmed sightings of animals thought to be the Desert Rat-kangaroo between 1957 and 1988. Since then there have been two additional unconfirmed sightings; a daytime flushing in August 1993, of an animal near Goyder Lagoon just north of the site of the 1931 population (K. Jury <em>pers. comm</em>. to A. Robinson) and a night-time sighting at The Peake Station on the Oodnadatta Track in May 2011. The latter sighting was followed up in August 2011 and although an old nest with some dried scats was found, DNA could not be isolated from the scats, so the sighting could not be confirmed (Robinson and Forrest 2013).</p>",Globally extinct,pop_17,,10000,1907.5,1907.5,1907.5,0,1875,1875,1875,0
Caloprymnus campestris,Global,"Koonchera Dune, SA",,,,900,1,1,1,1,Confirmed,"Vernes, K., Elliott, T.F. and Jackson, S.M., 2021. 150 years of mammal extinction and invasion at Koonchera Dune in the Lake Eyre Basin of South Australia. Biological Invasions, 23(2), pp.593-610.",1931,"Koonchera Dune, South Australia","Koonchera Dune, South Australia",Place,NA,NA,,,,,,,,,,,Globally extinct,pop_18,,10000,1907.5,1907.5,1907.5,0,1875,1875,1875,0
Chaeropus ecaudatus,Global,,,1950s,,200,1,1,1,1,Confirmed,IUCN 2023,1901,"Alice Springs, NT",Alice Springs,Place,NA,NA,,,,,,,"Listed as Extinct because the last reliably-dated specimen was collected near Alice Springs in 1901 (Johnson and Burbidge 2008). Pintupi people, however, recall it surviving in the northern Gibson Desert until the 1950s (Burbidge <em>et al</em>. 1988).","The extinction of the Pig-footed Bandicoot is attributed to predation by feral cats and red foxes. The impact of exotic disease is unknown, but possible. Habitat degradation by introduced stock would have occurred in some, minor parts of the former range.",The species is presumed to be extinct.,The Pig-footed Bandicoot occurred in semi-arid and arid Australia from or near the west coast at Carnarvon and the wheatbelt of south-western Australia (Abbott 2008a) to western New South Wales and north-western Victoria (Burbidge 2004; Johnson and Burbidge 2008).,Globally extinct,pop_19,,10000,1917.5,1917.5,1917.5,0,1875,1875,1875,0
Chaeropus ecaudatus,State,New South Wales,,,,200,1,1,1,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1880,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Globally extinct,pop_20,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Chaeropus ecaudatus,Region,south-western Australia,,,,200,1,1,1,1,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",1840,South-west Australia,Perth,Region,NA,NA,,,,,,,,,,,Globally extinct,pop_21,,1e+05,1917.5,1932.5,1925.72580645161,3.98075974343401,1835,1845,1837.84946236559,4.51996764666316
Chaeropus yirratji,Global,,,,Not included in Red List,Not listed,1,N/A,,,Confirmed,"EPBC; Travouillon, K.J., Simoes, B.F., Miguez, R.P., Brace, S., Brewer, P., Stemmer, D., Price, G.J., Cramb, J. and Louys, J., 2019. Hidden in plain sight: reassessment of the pig-footed bandicoot, Chaeropus ecaudatus (Peramelemorphia, Chaeropodidae), with a description of a new species from Central Australia, and use of the fossil record to trace its past distribution. Zootaxa, 4566(1), pp.zootaxa-4566.",1907,"North-west Lake Eyre, South Australia",Lake Eyre,Place,NA,NA,,,,,,,,,,,Globally extinct,pop_22,,10000,1907.5,1907.5,1907.5,0,1875,1875,1875,0
Conilurus albipes,State,New South Wales,,,,200,1,1,0,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1846,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Globally extinct,pop_24,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Conilurus capricornensis,Global,,,Quaternary,,194.7,1,1,0,1,Confirmed,IUCN 2023,1787,"Rockhampton and Townsville regions, QLD",Mackay,Region,NA,NA,,,,,,,"<p>The recently described taxon is listed as Extinct because it is only known from subfossil&#160;material considered to include material post-dating European settlement of Australia (Cramb and Hocknull 2010). Given that there has been no targeted survey for the species in the area, there is a thin hope of its survival, but it is far more unlikely than likely.&#160;&#160;</p>","This species has never been recorded alive, so assessment of threats is speculative. It was probably affected by the same threats that contributed to the extinction of <em>Conilurus albipes</em> - most likely predation by feral cats, but also reduction in food resources and habitat quality due to spread of pastoralism, clearing and changes in fire regime.","This recently described species is known only from fossil and subfossil material. However, some of this material is considered to be 'very recent'. In the description, Cramb and Hocknull (2010) noted that ‘it is most likely extinct’, but that ‘some [skull material] specimens collected in 2003 from a cave floor at Broken River appear remarkably fresh. The very ‘fresh’ nature of these specimens may indicate the persistence of the species in that area today’. This material showed ‘no signs of fossilisation and still preserved desiccation cracks and organic staining to the bone.’Although presumed extinct here, the species has not been the subject of targeted search and Cramb and Hocknull (2010) expressed some hope that it may yet be found alive.<p></p>","No living individuals of this species have been reported. It is known only from fossil and subfossil material from four sites in north-eastern Australia: Capricorn Caves and Mount Etna (both near Rockhampton in mid-eastern Queensland), and Broken River and Christmas Creek (both inland from Townsville in north-eastern Queensland).",Globally extinct,pop_25,less than,1e+05,1927.5,1932.5,1931.96153846154,1.5529463647024,1855,1865,1862.15384615385,4.52101320939902
Dasycercus cristicauda,State,New South Wales,,,,100,1,1,1,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1899,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Extant,pop_26,less than,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Dasycercus cristicauda,Region,Nullarbor,,,,100,1,1,1,1,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.",1928,Nullarbor,Nullarbor,Region,NA,NA,,,,,,,,,,,Extant,pop_27,,1e+05,1907.5,1912.5,1911.76900584795,1.76825147180594,1885,1885,1885,0
Dasyurus geoffroii,State,New South Wales,,,,1100,1,1,1,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1857,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Extant,pop_28,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Dasyurus geoffroii,Region,"Eyre Peninsula, SA",,"""the only other known record of their presence is in 1910, likely within c. 40 km of Port Lincoln""",,1100,1,1,1,1,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.",1910,"Port Lincoln, South Australia","Port Lincoln, South Australia",Place,NA,NA,,,,,,,,,,,Extant,pop_29,,10000,1902.5,1902.5,1902.5,0,1845,1845,1845,0
Dasyurus geoffroii,Region,Nullarbor,,,,1100,1,1,1,1,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.",1938,Nullarbor,Nullarbor,Region,NA,NA,,,,,,,,,,,Extant,pop_30,,1e+05,1907.5,1912.5,1911.76900584795,1.76825147180594,1885,1885,1885,0
Dasyurus viverrinus,Mainland,,,"""The last definite live individual was recorded at Vaucluse, NSW in 1963... specimen from Barrington Tops, NSW, in 1989… a photograph of an eastern quoll (reported to be taken in 2013 in the Nungatta area of NSW)""",,1090,1,1,1,1,Confirmed,"Hope, B., Soderquist, T. and Eldridge, M.D., 2019. Eastern quoll (Dasyurus viverrinus Shaw, 1800): a review of recent sightings on mainland Australia. Australian mammalogy, 42(2), pp.144-151.",1963,"Vaucluse, NSW","Vaucluse, NSW",Place,NA,NA,,,,,,,,,,"It became extinct on the mainland c. mid-1960s (Menkhorst 1995, Jones 2008, DPIPWE 2012), with sightings at Kew and Ivanhoe, Melbourne until the early 1960s, maybe later (P. Menkhorst pers. comm. 2014); the last confirmed mainland sighting being at Vaucluse (NSW) in 1963 (Dickman et al. 2001)",Extinct from mainland,pop_31,,10000,1907.5,1912.5,1909.5,2.73861278752583,1815,1815,1815,0
Dasyurus viverrinus,Mainland,,,"""The last definite live individual was recorded at Vaucluse, NSW in 1963... specimen from Barrington Tops, NSW, in 1989… a photograph of an eastern quoll (reported to be taken in 2013 in the Nungatta area of NSW)""",,1090,1,1,1,1,Alternative-confirmed,"Frankham, G.J., Thompson, S., Ingleby, S., Soderquist, T. and Eldridge, M.D., 2016. Does the ‘extinct’eastern quoll (Dasyurus viverrinus) persist in Barrington Tops, New South Wales?. Australian Mammalogy, 39(2), pp.243-247.",1989,"Barrington Tops, New South Wales","Barrington Tops, New South Wales",Place,NA,NA,,,,,,,,,,"It became extinct on the mainland c. mid-1960s (Menkhorst 1995, Jones 2008, DPIPWE 2012), with sightings at Kew and Ivanhoe, Melbourne until the early 1960s, maybe later (P. Menkhorst pers. comm. 2014); the last confirmed mainland sighting being at Vaucluse (NSW) in 1963 (Dickman et al. 2001)",Extinct from mainland,pop_32,,10000,1907.5,1907.5,1907.5,0,1825,1825,1825,0
Dasyurus viverrinus,Mainland,,,"""The last definite live individual was recorded at Vaucluse, NSW in 1963... specimen from Barrington Tops, NSW, in 1989… a photograph of an eastern quoll (reported to be taken in 2013 in the Nungatta area of NSW)""",,1090,1,1,1,1,Unconfirmed,"Hope, B., Soderquist, T. and Eldridge, M.D., 2019. Eastern quoll (Dasyurus viverrinus Shaw, 1800): a review of recent sightings on mainland Australia. Australian mammalogy, 42(2), pp.144-151.",2013,"Nungatta, NSW","Nungatta, NSW",Place,NA,NA,,,,,,,,,,"It became extinct on the mainland c. mid-1960s (Menkhorst 1995, Jones 2008, DPIPWE 2012), with sightings at Kew and Ivanhoe, Melbourne until the early 1960s, maybe later (P. Menkhorst pers. comm. 2014); the last confirmed mainland sighting being at Vaucluse (NSW) in 1963 (Dickman et al. 2001)",Extinct from mainland,pop_33,,10000,1892.5,1892.5,1892.5,0,1835,1835,1835,0
Isoodon auratus,State,New South Wales,,,,425,1,1,1,1,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1857,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Extant,pop_34,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Isoodon auratus,Region,Nullarbor,,,,425,1,1,1,1,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.",1922,Nullarbor,Nullarbor,Region,NA,NA,,,,,,,,,,,Extant,pop_35,,1e+05,1907.5,1912.5,1911.76900584795,1.76825147180594,1885,1885,1885,0
Lagorchestes asomatus,Global,,,1950s,,1500,1,1,1,1,Confirmed,IUCN 2023,1932,"Between Mt Farewell and Lake Mackay, Northern Territory",Lake MacKay,Place,NA,NA,,,,,,,The only known specimen of the Kuluwarri was taken in 1932. Surveys in Northern Territory and Western Australia have failed to locate it. Older western desert Aboriginal people stated that it disappeared between 1940 and 1960 (Burbidge <em>et al</em>. 1988).,"Major factors contributing to extinction are considered to be predation by introduced feral cats and red foxes, possibly exacerbated by changed fire regimes after Aboriginal people moved to settlements.","It is extinct, since the 1950s.","The single specimen was collected between Mt Farewell and Lake Mackay, Northern Territory in 1932. Older western desert Aboriginal people remembered an animal that, noting its behaviour, was almost certainly this species, from the Great Sandy, Gibson and Tanami Deserts (Burbidge <em>et al</em>. 1988). However, the identity cannot be certain, as these authors had no knowledge at the time of the former occurrence of the Desert Bettong <em>Bettongia anhydra</em> in the region.",Globally extinct,pop_36,,10000,1922.5,1922.5,1922.5,0,1885,1885,1885,0
Lagorchestes asomatus,Global,,,1950s,,1500,1,1,1,1,Unconfirmed,IUCN 2023,1960,"Great Sandy, Gibson and Tanami Deserts",Gibson Desert,Region,NA,NA,,,,,,,The only known specimen of the Kuluwarri was taken in 1932. Surveys in Northern Territory and Western Australia have failed to locate it. Older western desert Aboriginal people stated that it disappeared between 1940 and 1960 (Burbidge <em>et al</em>. 1988).,"Major factors contributing to extinction are considered to be predation by introduced feral cats and red foxes, possibly exacerbated by changed fire regimes after Aboriginal people moved to settlements.","It is extinct, since the 1950s.","The single specimen was collected between Mt Farewell and Lake Mackay, Northern Territory in 1932. Older western desert Aboriginal people remembered an animal that, noting its behaviour, was almost certainly this species, from the Great Sandy, Gibson and Tanami Deserts (Burbidge <em>et al</em>. 1988). However, the identity cannot be certain, as these authors had no knowledge at the time of the former occurrence of the Desert Bettong <em>Bettongia anhydra</em> in the region.",Globally extinct,pop_37,,1e+05,1927.5,1927.5,1927.5,0,1885,1885,1885,0
Lagorchestes hirsutus,Mainland,,,"""the last known wild population... disappeared from the Tanami Desert… in 1991""",,1265,1,1,1,1,Confirmed,"Eldridge, M.D.B., Kinnear, J.E., Zenger, K.R., McKenzie, L.M. and Spencer, P.B.S., 2004. Genetic diversity in remnant mainland and “pristine” island populations of three endemic Australian macropodids (Marsupialia): Macropus eugenii, Lagorchestes hirsutus and Petrogale lateralis. Conservation Genetics, 5, pp.325-338.",1991,Tanami Desert,Tanami Desert,Place,NA,NA,,,,,,,,,,,Extinct from mainland,pop_38,,10000,1927.5,1927.5,1927.5,0,1885,1885,1885,0
Lagorchestes hirsutus,Region,south-western Australia,,,,1265,1,1,1,1,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",1896,South-west Australia,Perth,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_39,,1e+05,1917.5,1932.5,1925.72580645161,3.98075974343401,1835,1845,1837.84946236559,4.51996764666316
Lagorchestes leporides,Global,,,1890,,3262.7,1,0,0,0,Confirmed,IUCN 2023,1890,"""common in the 1850s on the plains around the junction of the Murray and Darling Rivers""",Murray River Council,Place,NA,NA,,,,,,,Listed as Extinct because this species has not been recorded since 1890.,It has been suggested that an important factor in the decline of hare-wallabies has been the alteration of grassland habitat through trampling and grazing by sheep and cattle. The removal of aboriginal Australians from large areas by European settlers may also have contributed to loss of hare-wallabies by resulting in the removal of regular winter burning regimes and increasing the likelihood of devastating lightening-caused fires in summer months.,It is presumed to be extinct. Little is known about this species. Krefft (1866) found it to be common in the 1850s on the plains around the junction of the Murray and Darling Rivers.,"The Eastern Hare-wallaby formerly occurred in central New South Wales, north-western Victoria and eastern South Australia. Subfossil data extends the range into southern Queensland (Burbidge <em>et al</em>. 2009). Specimens in the National Museums, Liverpool, and the Natural History Museum, London, from the 1840s labelled ‘South Australia’ and ‘Interior of New south Wales’ do not have accurate collecting localities (C. Fisher <em>pers. comm</em>.).",Globally extinct,pop_40,,10000,1882.5,1887.5,1886.07142857143,2.43975018237133,1845,1845,1845,0
Lagorchestes leporides,State,New South Wales,,,,3262.7,1,0,0,0,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",1890,"Western Division, NSW",Broken Hill,Region,NA,NA,,,,,,,,,,,Globally extinct,pop_41,,1e+05,1892.5,1907.5,1903.35106382979,2.77797154693694,1875,1875,1875,0
Lagostrophus fasciatus,Region,south-western Australia,,,,1700,1,1,1,1,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",1906,South-west Australia,Perth,Region,NA,NA,,,,,,,,,,,Extinct from mainland,pop_42,,1e+05,1917.5,1932.5,1925.72580645161,3.98075974343401,1835,1845,1837.84946236559,4.51996764666316
